eng,English
rus,Russian
ita,Italian
epo,Esperanto
tur,Turkish
kab,Kabyle
ber,Berber
deu,German
fra,French
por,Portuguese
spa,Spanish
hun,Hungarian
jpn,Japanese
heb,Hebrew
ukr,Ukrainian
nld,Dutch
fin,Finnish
pol,Polish
lit,Lithuanian
mkd,Macedonian
ces,Czech
tgl,Tagalog
cmn,Mandarin Chinese
mar,Marathi
ara,Arabic
dan,Danish
swe,Swedish
tok,Toki Pona
lat,Latin
srp,Serbian
ell,Greek
ron,Romanian
ina,Interlingua
pes,Persian
tlh,Klingon
lfn,Lingua Franca Nova
bul,Bulgarian
vie,Vietnamese
swc,Congo Swahili
ind,Indonesian
hau,Hausa
yid,Yiddish
nds,Low German (Low Saxon)
slk,Slovak
nob,Norwegian Bokmål
jbo,Lojban
shi,Tashelhit
zgh,Standard Moroccan Tamazight
hin,Hindi
ben,Bengali
tat,Tatar
nnb,Nande
bel,Belarusian
isl,Icelandic
ckb,Central Kurdish (Soranî)
oci,Occitan
kor,Korean
ido,Ido
kmr,Northern Kurdish (Kurmancî)
ile,Interlingue
cat,Catalan
uig,Uyghur
asm,Assamese
bre,Breton
zsm,Malay
lvs,Latvian
tuk,Turkmen
oss,Ossetian
yue,Cantonese
kat,Georgian
eus,Basque
glg,Galician
aze,Azerbaijani
est,Estonian
sat,Santali
vol,Volapük
hrv,Croatian
gos,Gronings
tha,Thai
hye,Armenian
kzj,Coastal Kadazan
run,Kirundi
lin,Lingala
wuu,Shanghainese
swh,Swahili
mhr,Meadow Mari
npi,Nepali
kaz,Kazakh
afr,Afrikaans
avk,Kotava
cor,Cornish
tig,Tigre
rhg,Rohingya
knc,Central Kanuri
udm,Udmurt
grn,Guarani
frr,North Frisian
slv,Slovenian
gle,Irish
dtp,Central Dusun
cbk,Chavacano
mon,Mongolian
sqi,Albanian
ilo,Ilocano
urd,Urdu
war,Waray
arq,Algerian Arabic
khm,Khmer
kha,Khasi
ota,Ottoman Turkish
zlm,Malay (Vernacular)
nus,Nuer
gcf,Guadeloupean Creole French
lad,Ladino
swg,Swabian
lij,Ligurian
lzh,Literary Chinese
cym,Welsh
zza,Zaza
bos,Bosnian
ceb,Cebuano
chv,Chuvash
grc,Ancient Greek
hrx,Hunsrik
nno,Norwegian Nynorsk
hsb,Upper Sorbian
pam,Kapampangan
hoc,Ho
unknown,unknown
pcd,Picard
xmf,Mingrelian
orv,Old East Slavic
jav,Javanese
arz,Egyptian Arabic
uzb,Uzbek
prg,Old Prussian
dsb,Lower Sorbian
gla,Scottish Gaelic
bua,Buryat
sdh,Southern Kurdish
ltz,Luxembourgish
sah,Yakut
csb,Kashubian
guc,Wayuu
mal,Malayalam
rom,Romani
xal,Kalmyk
pms,Piedmontese
nst,Naga (Tangshang)
mlt,Maltese
fry,Frisian
nov,Novial
mus,Muskogee (Creek)
ast,Asturian
fkv,Kven Finnish
thv,Tahaggart Tamahaq
tpw,Old Tupi
mya,Burmese
arn,Mapuche
ckt,Chukchi
tam,Tamil
kir,Kyrgyz
gsw,Swiss German
bzt,Brithenig
que,Quechua
max,North Moluccan Malay
fao,Faroese
rif,Tarifit
vep,Veps
mri,Maori
ang,Old English
ori,Odia (Oriya)
crh,Crimean Tatar
cha,Chamorro
tzl,Talossan
ain,Ainu
mfa,Kelantan-Pattani Malay
kas,Kashmiri
bak,Bashkir
tel,Telugu
got,Gothic
amh,Amharic
vec,Venetian
xho,Xhosa
awa,Awadhi
shy,Tachawit
bar,Bavarian
ltg,Latgalian
krc,Karachay-Balkar
lao,Lao
tmr,Jewish Babylonian Aramaic
sme,Northern Sami
fro,Old French
nah,Nahuatl
kan,Kannada
pan,Punjabi (Eastern)
nog,Nogai
srn,Sranan Tongo
krl,Karelian
haw,Hawaiian
sux,Sumerian
kal,Greenlandic
guj,Gujarati
lzz,Laz
san,Sanskrit
qya,Quenya
bjn,Banjar
ldn,Láadan
enm,Middle English
hbo,Ancient Hebrew
egl,Emilian
bal,Baluchi
skr,Saraiki
som,Somali
afb,Gulf Arabic
cho,Choctaw
ajp,South Levantine Arabic
kum,Kumyk
wol,Wolof
min,Minangkabau
mik,Hitchiti
rue,Rusyn
yor,Yoruba
evn,Evenki
zul,Zulu
hat,Haitian Creole
tet,Tetun
tir,Tigrinya
arg,Aragonese
apc,North Levantine Arabic
kbd,Kabardian
bvy,Baybayanon
stq,Saterland Frisian
shs,Shuswap
tum,Tumbuka
sjn,Sindarin
tpi,Tok Pisin
ary,Moroccan Arabic
mrj,Hill Mari
pap,Papiamento
sco,Scots
nav,Navajo
lld,Ladin
cmo,Central Mnong
smo,Samoan
mww,Hmong Daw (White)
ksh,Kölsch
tyv,Tuvinian
afh,Afrihili
dws,Dutton World Speedwords
iba,Iban
moh,Mohawk
myv,Erzya
crs,Seychellois Creole
ext,Extremaduran
mlg,Malagasy
tly,Talysh
tgk,Tajik
iii,Nuosu
pag,Pangasinan
szl,Silesian
pus,Pashto
mgm,Mambae
lut,Lushootseed
sma,Southern Sami
ppl,Pipil
bod,Tibetan
bfz,Mahasu Pahari
pdc,Pennsylvania German
pnb,Punjabi (Western)
liv,Livonian
gag,Gagauz
bho,Bhojpuri
tts,Isan
hak,Hakka Chinese
sin,Sinhala
pal,Middle Persian (Pahlavi)
chn,Chinook Jargon
wln,Walloon
bom,Berom
ike,Inuktitut
acm,Iraqi Arabic
sna,Shona
sgs,Samogitian
kpv,Komi-Zyrian
lim,Limburgish
hil,Hiligaynon
ngu,Guerrero Nahuatl
kjh,Khakas
fij,Fijian
koi,Komi-Permyak
ryu,Okinawan
tsn,Setswana
drt,Drents
che,Chechen
div,Dhivehi
nch,Central Huasteca Nahuatl
glv,Manx
cycl,CycL
gbm,Garhwali
scn,Sicilian
niu,Niuean
ibo,Igbo
fuv,Nigerian Fulfulde
oji,Ojibwe
jam,Jamaican Patois
hif,Fiji Hindi
igs,Interglossa
pau,Palauan
fur,Friulian
frm,Middle French
rap,Rapa Nui
ady,Adyghe
abk,Abkhaz
cay,Cayuga
mwl,Mirandese
kin,Kinyarwanda
sun,Sundanese
dng,Dungan
chr,Cherokee
umb,Umbundu
tah,Tahitian
lmo,Lombard
aln,Gheg Albanian
mvv,Tagal Murut
ood,O'odham
bis,Bislama
akl,Aklanon
nya,Chinyanja
mah,Marshallese
roh,Romansh
ewe,Ewe
lkt,Lakota
kek,Kekchi (Q'eqchi')
cos,Corsican
ton,Tongan
aoz,Uab Meto
kaa,Karakalpak
ava,Avar
non,Old Norse
oar,Old Aramaic
osp,Old Spanish
lou,Louisiana Creole
pli,Pali
inh,Ingush
klj,Khalaj
dar,Dargwa
ngt,Ngeq
cjy,Jin Chinese
mic,Mi'kmaq
jpa,Jewish Palestinian Aramaic
new,Newari
nap,Neapolitan
srd,Sardinian
qxq,Qashqai
phn,Phoenician
vro,Võro
nan,Min Nan Chinese
lez,Lezgi
syl,Sylheti
toi,Tonga (Zambezi)
tvl,Tuvaluan
gil,Gilbertese
alt,Southern Altai
nlv,Orizaba Nahuatl
bam,Bambara
ofs,Old Frisian
lbe,Lak
tkl,Tokelauan
mnr,Mono (USA)
emx,Erromintxela
zea,Zeelandic
xqa,Karakhanid
nau,Nauruan
abq,Abaza
brx,Bodo
laa,Southern Subanen
yua,Yucatec Maya
kam,Kamba
mnw,Mon
jdt,Juhuri (Judeo-Tat)
chg,Chagatai
mdf,Moksha
mai,Maithili
quc,K'iche'
cpi,Chinese Pidgin English
mad,Madurese
sag,Sango
ssw,Swazi
otk,Old Turkish
fuc,Pulaar
izh,Ingrian
snd,Sindhi
lug,Luganda
diq,Southern Zaza (Dimli)
kiu,Northern Zaza (Kirmanjki)
ban,Balinese
aii,Assyrian Neo-Aramaic
mfe,Morisyen
bcl,Central Bikol
tmw,Temuan
kxi,Keningau Murut
gom,Konkani (Goan)
hnj,Hmong Njua (Green)
hsn,Xiang Chinese
crk,Plains Cree
tso,Tsonga
gan,Gan Chinese
syc,Syriac
hdn,Northern Haida
pfl,Palatine German
ayl,Libyan Arabic
gaa,Ga
mni,Meitei
osx,Old Saxon
sot,Southern Sotho
aym,Aymara
mnc,Manchu
nys,Nyungar
hax,Southern Haida
rel,Rendille
urh,Urhobo
cyo,Cuyonon
\N,Unknown
